x,y
374.1225,0.3055561
376.051,0.2982793
377.9795,0.3161908
379.9079,0.2929327
381.8364,0.2511808
383.7649,0.2449214
385.6933,0.2556801
387.6218,0.2571478
389.5503,0.2520094
391.4787,0.2404186
393.4072,0.2500187
395.3357,0.2558359
397.2641,0.261146
399.1926,0.2684907
401.1211,0.2610527
403.0495,0.2515372
404.978,0.2439157
406.9065,0.2559211
408.8349,0.2797839
410.7634,0.3005325
412.6919,0.2977248
414.6203,0.2986257
416.5488,0.2989967
418.4773,0.2934076
420.4057,0.2846354
422.3342,0.2728467
424.2627,0.2585201
426.1911,0.2464593
428.1196,0.2319399
430.0481,0.2207519
431.9765,0.2071959
433.905,0.193495
435.8335,0.1824724
437.7619,0.1705761
439.6904,0.1595264
441.6189,0.1521897
443.5473,0.1431145
445.4758,0.1332114
447.4043,0.1252773
449.3327,0.1170386
451.2612,0.1084728
453.1897,0.1015809
455.1181,0.09876936
457.0466,0.09748048
458.9751,0.09887798
460.9035,0.1016778
462.832,0.1040362
464.7605,0.103398
466.6889,0.09770037
468.6174,0.0892919
470.5459,0.08319974
472.4743,0.07948744
474.4028,0.07726435
476.3313,0.07526493
478.2597,0.07143176
480.1882,0.06480064
482.1167,0.05759553
484.0451,0.05178617
485.9736,0.04796966
487.9021,0.04464547
489.8305,0.04270153
491.759,0.0413457
493.6875,0.04056813
495.6159,0.03912006
497.5444,0.03886982
499.4729,0.03950687
501.4013,0.0403001
503.3298,0.04128423
505.2583,0.04349376
507.1867,0.0458619
509.1152,0.04684487
511.0437,0.0489898
512.9721,0.05213011
514.9006,0.05547453
516.829,0.05978885
518.7575,0.06524956
520.686,0.07297834
522.6144,0.08291666
524.5429,0.09550326
526.4714,0.1103867
528.3998,0.1258632
530.3283,0.1398931
532.2568,0.1485786
534.1852,0.1525571
536.1137,0.1522582
538.0422,0.1464327
539.9706,0.1362629
541.8991,0.1243055
543.8276,0.1119606
545.756,0.1015745
547.6845,0.09574807
549.613,0.09366595
551.5414,0.09467643
553.4699,0.09954756
555.3984,0.1066562
557.3268,0.1153079
559.2553,0.1257627
561.1838,0.1375346
563.1122,0.1497914
565.0407,0.1621066
566.9692,0.1744712
568.8976,0.1857517
570.8261,0.1964708
572.7546,0.2052575
574.683,0.2124209
576.6115,0.2176674
578.54,0.2211742
580.4684,0.2211398
582.3969,0.2181653
584.3254,0.213353
586.2538,0.2079755
588.1823,0.2006084
590.1108,0.1918117
592.0392,0.1824025
593.9677,0.1722189
595.8962,0.1624817
597.8246,0.1528622
599.7531,0.1438984
601.6816,0.1368544
603.61,0.1310035
605.5385,0.1252249
607.467,0.1185153
609.3954,0.1096367
611.3239,0.09988781
613.2524,0.08991342
615.1808,0.08095418
617.1093,0.0734909
619.0378,0.06694775
620.9662,0.06166665
622.8947,0.05819291
624.8232,0.05570979
626.7516,0.05459422
628.6801,0.05462883
630.6086,0.05547155
632.537,0.05652574
634.4655,0.05926139
636.394,0.06411152
638.3224,0.07044881
640.2509,0.07872193
642.1794,0.0885576
644.1078,0.09894332
646.0363,0.1065471
647.9648,0.1077625
649.8932,0.1016022
651.8217,0.09070155
653.7502,0.07848566
655.6786,0.06737529
657.6071,0.05832046
659.5356,0.05127329
661.4641,0.04608446
663.3925,0.04229401
665.321,0.03953796
667.2495,0.03773881
669.1779,0.03597422
671.1064,0.03435428
673.0349,0.03348073
674.9633,0.03316072
676.8918,0.0330153
