x,y
399.1926,-0.01623908
401.1211,0.001207922
403.0495,0.002070727
404.978,-0.01590185
406.9065,-0.002422605
408.8349,0.01236353
410.7634,0.004052124
412.6919,0.0006673084
414.6203,0.005116606
416.5488,0.0009030481
418.4773,-0.001203803
420.4057,0.005181467
422.3342,0.002612277
424.2627,-0.004219107
426.1911,-0.0008654112
428.1196,0.001174474
430.0481,0.0005091915
431.9765,0.001785473
433.905,0.002492378
435.8335,0.006889969
437.7619,0.006742228
439.6904,0.004270417
441.6189,0.002936807
443.5473,0.001933266
445.4758,0.00428166
447.4043,0.007228214
449.3327,0.003964532
451.2612,0.002278588
453.1897,0.007168165
455.1181,0.008064724
457.0466,0.006113688
458.9751,0.006060611
460.9035,0.003231529
462.832,0.0009183289
464.7605,0.003325094
466.6889,0.005736569
468.6174,0.002692146
470.5459,0.002634101
472.4743,0.003822082
474.4028,0.00153493
476.3313,0.002211025
478.2597,0.003901789
480.1882,0.002001113
482.1167,0.001387095
484.0451,0.003683736
485.9736,0.003474292
487.9021,0.002427313
489.8305,0.002633839
491.759,0.0027701
493.6875,0.002679189
495.6159,0.002935478
497.5444,0.003169335
499.4729,0.002621504
501.4013,0.00295452
503.3298,0.003586558
505.2583,0.002730422
507.1867,0.002120073
509.1152,0.003479982
511.0437,0.004307998
512.9721,0.003867662
514.9006,0.00390234
516.829,0.004105689
518.7575,0.003913312
520.686,0.004030718
522.6144,0.004771571
524.5429,0.004534367
526.4714,0.003521757
528.3998,0.004298001
530.3283,0.004782645
532.2568,0.004269724
534.1852,0.004220945
536.1137,0.0048461
538.0422,0.005066285
539.9706,0.004416275
541.8991,0.004519595
543.8276,0.004811184
545.756,0.005271474
547.6845,0.005166074
549.613,0.00482258
551.5414,0.005465914
553.4699,0.006494737
555.3984,0.006746869
557.3268,0.00627595
559.2553,0.00658911
561.1838,0.007493946
563.1122,0.007383877
565.0407,0.006990161
566.9692,0.007979973
568.8976,0.00839206
570.8261,0.007469003
