x,y
399.1926,0.05659689
401.1211,0.044075228
403.0496,0.04428713
404.978,0.039487582
406.9065,0.037526522
408.835,0.037787888
410.7634,0.03647076
412.6919,0.032932509
414.6204,0.030140011
416.5488,0.02943892
418.4773,0.02741378
420.4058,0.027972549
422.3342,0.02708919
424.2627,0.02470877
426.1912,0.025378831
428.1196,0.025551051
430.0481,0.026008479
431.9766,0.02493695
433.905,0.02299292
435.8335,0.021350671
437.762,0.02115898
439.6904,0.020175699
441.6189,0.018151039
443.5474,0.01623684
445.4758,0.01471712
447.4043,0.01507025
449.3328,0.015784791
451.2612,0.01525794
453.1897,0.0149676
455.1182,0.01458424
457.0466,0.01369626
458.9751,0.01439867
460.9036,0.01395956
462.832,0.01379915
464.7605,0.01413259
466.689,0.01388523
468.6174,0.01324484
470.5459,0.01270775
472.4744,0.01276872
474.4028,0.01247433
476.3313,0.0126871
478.2598,0.01240503
480.1882,0.01216293
482.1167,0.0125018
484.0452,0.01219278
485.9736,0.01142667
487.9021,0.01162001
489.8306,0.01192594
491.759,0.01188743
493.6875,0.01152736
495.616,0.01140406
497.5444,0.01206467
499.4729,0.0124077
501.4014,0.011992
503.3298,0.01213008
505.2583,0.01220101
507.1868,0.01109082
509.1152,0.01075773
511.0437,0.01093786
512.9722,0.01064488
514.9006,0.01100215
516.8291,0.0109775
518.7576,0.01092501
520.686,0.01116347
522.6145,0.01139417
524.543,0.01155437
526.4714,0.01132345
528.3999,0.01137028
530.3284,0.01182278
532.2568,0.01189207
534.1853,0.01142792
536.1138,0.01045863
538.0422,0.01002897
539.9707,0.01064013
541.8992,0.01099072
543.8276,0.01137214
545.7561,0.01199724
547.6846,0.0118175
549.613,0.01128238
551.5415,0.01166275
553.47,0.01197595
555.3984,0.01155947
557.3269,0.011484
559.2554,0.01188715
561.1838,0.01161344
563.1123,0.01128928
565.0408,0.01155951
566.9692,0.0119979
568.8977,0.01207271
570.8262,0.01166704
572.7546,0.01136679
574.6831,0.01188018
576.6116,0.01243042
578.54,0.01253907
580.4685,0.01273737
582.397,0.01320853
584.3254,0.01323325
586.2539,0.01336772
588.1824,0.01380009
590.1108,0.01435114
592.0393,0.01446665
593.9678,0.01442845
595.8962,0.01504018
597.8247,0.01518244
599.7532,0.01513683
601.6816,0.01536491
603.6101,0.0152012
605.5386,0.01553208
607.467,0.01558945
609.3955,0.01553168
611.324,0.01543547
613.2524,0.01559516
615.1809,0.015761411
617.1094,0.015955601
619.0378,0.01564835
620.9663,0.01535584
622.8948,0.01535169
624.8232,0.01520149
626.7517,0.01528026
628.6802,0.01512751
630.6086,0.01482691
632.5371,0.01477824
634.4656,0.0146208
636.394,0.0145442
638.3225,0.01455865
640.251,0.01477471
642.1794,0.01499117
644.1079,0.01507535
646.0364,0.0154136
647.9648,0.0156077
649.8933,0.01579242
651.8218,0.016389851
653.7502,0.016966701
655.6787,0.017436439
657.6072,0.017938539
659.5356,0.019118899
661.4641,0.020692591
663.3926,0.02204195
665.321,0.02241336
667.2495,0.021991011
669.178,0.021922849
671.1064,0.02259649
673.0349,0.02258029
674.9634,0.02184693
676.8918,0.02103778
678.8203,0.020490151
680.7488,0.02028461
682.6772,0.020565839
684.6057,0.020607671
686.5342,0.021122999
688.4626,0.021524159
690.3911,0.021403089
692.3196,0.021121779
694.248,0.021162741
696.1765,0.021405309
698.105,0.02186477
700.0334,0.022243099
701.9619,0.02271878
703.8904,0.02297337
705.8188,0.02323298
707.7473,0.02398812
709.6758,0.02548947
711.6042,0.026936401
713.5327,0.02874325
715.4612,0.031578541
717.3896,0.036092401
719.3181,0.040572371
721.2466,0.04337395
723.175,0.044776261
725.1035,0.051095922
727.032,0.069696002
728.9604,0.090340488
730.8889,0.080503449
732.8174,0.05168673
734.7458,0.036230858
736.6743,0.03140929
738.6028,0.029425191
740.5313,0.02936247
742.4597,0.031207571
744.3882,0.03408521
746.3167,0.037132129
748.2451,0.039785091
750.1736,0.041738089
752.1021,0.042850502
754.0305,0.043271478
755.959,0.042982239
757.8875,0.042201892
759.8159,0.04078145
761.7444,0.039160751
763.6729,0.036837839
765.6013,0.034141831
767.5298,0.03219343
769.4583,0.030745169
771.3867,0.0295
773.3152,0.02873224
775.2437,0.028204011
777.1721,0.02805244
779.1006,0.028109031
781.0291,0.02797801
782.9575,0.02791591
784.886,0.028363099
786.8145,0.028579639
788.7429,0.028301811
790.6714,0.02842352
792.5999,0.028339449
794.5283,0.028290709
796.4568,0.02840865
798.3853,0.02857589
800.3137,0.028780431
802.2422,0.0287295
804.1707,0.028744429
806.0991,0.029410001
808.0276,0.029903229
809.9561,0.030412421
811.8845,0.0308557
813.813,0.03131457
815.7415,0.031815901
817.6699,0.032625511
819.5984,0.033153988
821.5269,0.034260839
823.4553,0.035953261
825.3838,0.03762576
827.3123,0.038841091
829.2407,0.04118124
831.1692,0.04423007
833.0977,0.048058081
835.0261,0.053283021
836.9546,0.061119068
838.8831,0.073233321
840.8115,0.086500153
842.74,0.082479402
844.6685,0.070650861
846.5969,0.071495593
848.5254,0.080792591
850.4539,0.094059348
852.3823,0.1118282
854.3108,0.137499
856.2393,0.1748626
858.1677,0.2293842
860.0962,0.3036696
862.0247,0.3931246
863.9531,0.4752659
865.8816,0.4783899
867.8101,0.3822806
869.7385,0.2722016
871.667,0.1808563
873.5955,0.102786
875.5239,0.053316101
877.4524,0.045170479
879.3809,0.051922228
881.3093,0.045957811
883.2378,0.032198772
885.1663,0.02286493
887.0947,0.01859132
889.0232,0.016975621
890.9517,0.016285799
892.8801,0.016199101
894.8085,0.01641494
896.737,0.016394001
898.6655,0.01642873
900.5939,0.016630741
902.5224,0.016906351
904.4509,0.017386969
906.3793,0.01760901
908.3078,0.017474771
910.2363,0.01761185
912.1647,0.018010359
914.0932,0.01824105
916.0217,0.01846322
917.9501,0.018894101
919.8786,0.019576071
921.8071,0.01977342
923.7355,0.01980417
925.664,0.01993192
927.5925,0.020194
929.5209,0.020666789
931.4494,0.02108988
933.3779,0.02142594
935.3063,0.02150978
937.2348,0.02181855
939.1633,0.02234422
941.0917,0.023010271
943.0202,0.02365368
944.9487,0.023975911
946.8771,0.02411532
948.8056,0.024246581
950.7341,0.024581891
952.6625,0.02492735
954.591,0.025076751
956.5195,0.025187051
958.4479,0.025439659
960.3764,0.02603841
962.3049,0.02630637
964.2333,0.02663365
966.1618,0.027001141
968.0903,0.02746043
970.0187,0.02785542
971.9472,0.028189819
973.8757,0.02879226
975.8041,0.0292356
977.7326,0.02940408
979.6611,0.029686371
981.5895,0.029949641
983.518,0.030169111
985.4465,0.0304283
987.3749,0.030552059
989.3034,0.030667249
991.2319,0.030986929
993.1603,0.031409919
995.0888,0.031830281
997.0173,0.03220975
998.9457,0.032509189
1000.874,0.032870181
1002.803,0.033178888
1004.731,0.03337485
1006.66,0.033674888
1008.588,0.033924311
1010.517,0.034225881
1012.445,0.034646802
1014.373,0.035030019
1016.302,0.035440259
1018.23,0.035820551
1020.159,0.036024041
1022.087,0.035849459
1024.016,0.03577625
1025.944,0.036301021
1027.873,0.036688529
1029.801,0.036730319
1031.73,0.036797661
1033.658,0.03657797
1035.587,0.036082409
1037.515,0.035368171
1039.444,0.034554321
1041.372,0.033284988
1043.301,0.032038402
1045.229,0.0312464
1047.157,0.0309317
1049.086,0.031345319
1051.014,0.032163311
1052.943,0.033530161
1054.871,0.03554124
1056.8,0.037508659
1058.728,0.038909558
