x,y
399.1926,0.0568229
401.1211,0.040126391
403.0496,0.040319301
404.978,0.039013389
406.9065,0.04572067
408.835,0.051861439
410.7634,0.054449409
412.6919,0.059976429
414.6204,0.070238873
416.5488,0.07660643
418.4773,0.069265328
420.4058,0.053695969
422.3342,0.040510722
424.2627,0.033562571
426.1912,0.03215776
428.1196,0.03453486
430.0481,0.038208261
431.9766,0.038514279
433.905,0.040220361
435.8335,0.04204483
437.762,0.041986492
439.6904,0.045189582
441.6189,0.04854453
443.5474,0.052251469
445.4758,0.05515882
447.4043,0.057297401
449.3328,0.060408428
451.2612,0.065654561
453.1897,0.06985873
455.1182,0.073709607
457.0466,0.080003619
458.9751,0.086519279
460.9036,0.094947979
462.832,0.1049322
464.7605,0.1162629
466.689,0.1274316
468.6174,0.1359196
470.5459,0.1360549
472.4744,0.1209801
474.4028,0.09478461
476.3313,0.070825048
478.2598,0.05534986
480.1882,0.04889987
482.1167,0.047693491
484.0452,0.048946168
485.9736,0.05150025
487.9021,0.054968871
489.8306,0.05928012
491.759,0.063224509
493.6875,0.067156531
495.616,0.072749317
497.5444,0.078507021
499.4729,0.083744511
501.4014,0.090782084
503.3298,0.098835327
505.2583,0.1069366
507.1868,0.1158026
509.1152,0.1254467
511.0437,0.1348632
512.9722,0.1404975
514.9006,0.1371021
516.8291,0.1240764
518.7576,0.1090764
520.686,0.1001686
522.6145,0.098641902
524.543,0.099176772
526.4714,0.0971957
528.3999,0.095354877
530.3284,0.09943977
532.2568,0.1083455
534.1853,0.1180157
536.1138,0.1276171
538.0422,0.136213
539.9707,0.1417087
541.8992,0.1432294
543.8276,0.1407768
545.7561,0.133673
547.6846,0.1239195
549.613,0.1128929
551.5415,0.1019214
553.47,0.091645308
555.3984,0.083969973
557.3269,0.079805061
559.2554,0.078667827
561.1838,0.080224633
563.1123,0.083446123
565.0408,0.086796619
566.9692,0.089761071
568.8977,0.092726983
570.8262,0.096514873
572.7546,0.1016662
574.6831,0.1086615
576.6116,0.1173561
578.54,0.1277745
580.4685,0.1375589
582.397,0.1460104
584.3254,0.1519271
586.2539,0.1513532
588.1824,0.1429722
590.1108,0.1291971
592.0393,0.1183022
593.9678,0.1167178
595.8962,0.1252085
597.8247,0.1383765
599.7532,0.1489048
601.6816,0.1535792
603.6101,0.1538762
605.5386,0.1528436
607.467,0.1518634
609.3955,0.1482045
611.324,0.1406187
613.2524,0.1318973
615.1809,0.1244885
617.1094,0.117679
619.0378,0.1089134
620.9663,0.09853749
622.8948,0.090319917
624.8232,0.087339997
626.7517,0.088417277
628.6802,0.09245196
630.6086,0.098176382
632.5371,0.1041382
634.4656,0.1107479
636.394,0.1175479
638.3225,0.1241063
640.251,0.1295279
642.1794,0.1334539
644.1079,0.1361204
646.0364,0.1382263
647.9648,0.1394618
649.8933,0.1392429
651.8218,0.1386188
653.7502,0.1372012
655.6787,0.1354177
657.6072,0.1328808
659.5356,0.129297
661.4641,0.1261947
663.3926,0.1226626
665.321,0.1187434
667.2495,0.1149653
669.178,0.1105735
671.1064,0.1062884
673.0349,0.1020606
674.9634,0.097693287
676.8918,0.093236148
678.8203,0.089600191
680.7488,0.086371601
682.6772,0.083119363
684.6057,0.08065661
686.5342,0.078822337
688.4626,0.076962113
690.3911,0.075762093
692.3196,0.074971117
694.248,0.074164636
696.1765,0.073951647
698.105,0.074161291
700.0334,0.073796503
701.9619,0.073444352
703.8904,0.073563933
705.8188,0.074052364
707.7473,0.075240843
709.6758,0.077124603
711.6042,0.07969074
713.5327,0.082903013
715.4612,0.086223811
717.3896,0.090186633
719.3181,0.094648033
721.2466,0.099414133
723.175,0.1047877
725.1035,0.1105813
727.032,0.1164939
728.9604,0.1227099
730.8889,0.1292389
732.8174,0.1358342
734.7458,0.1428742
736.6743,0.1493862
738.6028,0.1548003
740.5313,0.1586864
742.4597,0.1603999
744.3882,0.1601066
746.3167,0.1577577
748.2451,0.1530432
750.1736,0.1459773
752.1021,0.1375292
754.0305,0.1283689
755.959,0.1182356
757.8875,0.107492
759.8159,0.097499803
761.7444,0.088399209
763.6729,0.079456367
765.6013,0.071093209
767.5298,0.063933097
769.4583,0.057833191
771.3867,0.052971449
773.3152,0.049305119
775.2437,0.0472215
777.1721,0.04706271
779.1006,0.047922201
781.0291,0.050035719
782.9575,0.053268101
784.886,0.05623297
786.8145,0.05901026
788.7429,0.062265549
790.6714,0.066494137
792.5999,0.07147231
794.5283,0.077079453
796.4568,0.081332646
