x,y
374.1225,0.1026115
376.051,0.10503
377.9795,0.1068517
379.9079,0.1086194
381.8364,0.1094361
383.7649,0.1052693
385.6933,0.1001048
387.6218,0.09624249
389.5503,0.09936088
391.4787,0.1024401
393.4072,0.105806
395.3357,0.1042458
397.2641,0.1031751
399.1926,0.1017901
401.1211,0.1027883
403.0495,0.1037631
404.978,0.10386
406.9065,0.104214
408.8349,0.104113
410.7634,0.1043725
412.6919,0.1064128
414.6203,0.1061608
416.5488,0.1052649
418.4773,0.1031793
420.4057,0.1014327
422.3342,0.1012618
424.2627,0.1020323
426.1911,0.1027345
428.1196,0.103382
430.0481,0.1038877
431.9765,0.1034468
433.905,0.1036988
435.8335,0.1037239
437.7619,0.1031438
439.6904,0.1021455
441.6189,0.1015446
443.5473,0.1030943
445.4758,0.1053566
447.4043,0.1055553
449.3327,0.1043975
451.2612,0.1036917
453.1897,0.1041003
455.1181,0.1052268
457.0466,0.1051387
458.9751,0.104446
460.9035,0.1036229
462.832,0.1045243
464.7605,0.1052881
466.6889,0.1052366
468.6174,0.1047801
470.5459,0.1033629
472.4743,0.1027268
474.4028,0.1030288
476.3313,0.1033757
478.2597,0.1039473
480.1882,0.1040189
482.1167,0.1037384
484.0451,0.1031214
485.9736,0.1033275
487.9021,0.1037666
489.8305,0.1036952
491.759,0.1032303
493.6875,0.1032971
495.6159,0.1025819
497.5444,0.1028065
499.4729,0.1030537
501.4013,0.1032891
503.3298,0.1033624
505.2583,0.1034242
507.1867,0.1034559
509.1152,0.1024431
511.0437,0.1021127
512.9721,0.1025074
514.9006,0.1029539
516.829,0.10345
518.7575,0.1029719
520.686,0.1026357
522.6144,0.1030511
524.5429,0.1036662
526.4714,0.1034454
528.3998,0.1032202
530.3283,0.1032767
532.2568,0.1032085
534.1852,0.1032729
536.1137,0.1033147
538.0422,0.10312
539.9706,0.1039378
541.8991,0.1046119
543.8276,0.1043996
545.756,0.1040314
547.6845,0.1040806
549.613,0.1040487
551.5414,0.1043838
553.4699,0.1047072
555.3984,0.1043809
557.3268,0.1043411
559.2553,0.1043739
561.1838,0.1047955
563.1122,0.104953
565.0407,0.1050707
566.9692,0.1053296
568.8976,0.1049638
570.8261,0.1051826
572.7546,0.1057505
574.683,0.1058432
576.6115,0.1052204
578.54,0.1053754
580.4684,0.1056955
582.3969,0.1056534
584.3254,0.1056269
586.2538,0.1059057
588.1823,0.1057027
590.1108,0.1056943
592.0392,0.1063638
593.9677,0.106764
595.8962,0.1066589
597.8246,0.1062734
599.7531,0.1061398
601.6816,0.1063232
603.61,0.1064403
605.5385,0.1063983
607.467,0.1066364
609.3954,0.1067916
611.3239,0.1067801
613.2524,0.10666
615.1808,0.1070277
617.1093,0.1071343
619.0378,0.1069149
620.9662,0.1068293
622.8947,0.1068842
624.8232,0.1068401
626.7516,0.1068711
628.6801,0.1067434
630.6086,0.1066936
632.537,0.106737
634.4655,0.1068471
636.394,0.1066812
638.3224,0.1066304
640.2509,0.1066212
642.1794,0.1065569
644.1078,0.1067277
646.0363,0.1069934
647.9648,0.1071336
649.8932,0.1069993
651.8217,0.1069219
653.7502,0.1069766
655.6786,0.1069964
657.6071,0.1070108
659.5356,0.1070189
661.4641,0.1070868
663.3925,0.1070568
665.321,0.106938
667.2495,0.1070919
669.1779,0.1071508
671.1064,0.1068509
673.0349,0.1069756
674.9633,0.107278
676.8918,0.1071143
678.8203,0.1069167
680.7487,0.107183
682.6772,0.1073805
684.6057,0.1071528
686.5341,0.1067471
688.4626,0.1064514
690.3911,0.1064625
692.3195,0.1066436
694.248,0.1066109
696.1765,0.1065668
698.1049,0.1066107
700.0334,0.1066445
701.9619,0.1064206
703.8903,0.10635
705.8188,0.1063435
707.7473,0.1062321
709.6757,0.1061793
711.6042,0.1064545
713.5327,0.10657
715.4611,0.1063401
717.3896,0.1062971
719.3181,0.1062278
721.2465,0.1060665
723.175,0.1060488
725.1035,0.1061138
727.0319,0.1060031
728.9604,0.1059271
730.8889,0.1059247
732.8173,0.1057749
734.7458,0.1057944
736.6743,0.105939
738.6027,0.1060749
740.5312,0.1061377
742.4597,0.106073
744.3881,0.1059535
746.3166,0.1059663
748.2451,0.1060041
750.1735,0.1060399
752.102,0.1059943
754.0305,0.1058081
755.9589,0.1057727
757.8874,0.1057891
759.8159,0.1058536
761.7443,0.1057433
763.6728,0.1058012
765.6013,0.1059705
767.5297,0.1059038
769.4582,0.1056941
771.3867,0.1057333
773.3151,0.1059054
775.2436,0.1058151
777.1721,0.1058987
779.1005,0.1060512
781.029,0.1060112
782.9575,0.1061232
784.8859,0.1061181
786.8144,0.1060799
788.7429,0.1060465
790.6713,0.1062591
792.5998,0.1062212
794.5283,0.1058495
796.4567,0.1061124
798.3852,0.1063193
800.3137,0.1062805
802.2421,0.1062193
804.1706,0.1062397
806.0991,0.1063025
808.0275,0.106239
809.956,0.1063745
811.8845,0.1064914
813.8129,0.1062436
815.7414,0.1060994
817.6699,0.1063327
819.5983,0.106363
821.5268,0.106322
823.4553,0.1063254
825.3837,0.1063249
827.3122,0.1064199
829.2407,0.1064701
831.1691,0.1065672
833.0976,0.1064171
835.0261,0.1063991
836.9545,0.1064476
838.883,0.1063403
840.8115,0.1063037
842.7399,0.1064619
844.6684,0.1065928
846.5969,0.1063434
848.5253,0.1061538
850.4538,0.1062782
852.3823,0.1064236
854.3107,0.1065994
856.2392,0.1065168
858.1677,0.1065779
860.0961,0.1066478
862.0246,0.1066546
863.9531,0.106565
865.8815,0.1065667
867.81,0.1066689
869.7385,0.1067042
871.6669,0.1066262
873.5954,0.1064832
875.5239,0.1065906
877.4523,0.1068047
879.3808,0.1067154
881.3093,0.1066179
883.2377,0.1067014
885.1662,0.1067571
887.0947,0.1068282
889.0231,0.1069923
890.9516,0.1069839
892.8801,0.1068729
894.8085,0.1068973
896.737,0.1068803
898.6655,0.1069916
900.5939,0.107219
902.5224,0.1073496
904.4509,0.1074803
906.3793,0.1074779
908.3078,0.1072308
910.2363,0.1071652
912.1647,0.1074047
